municipio;RP
Faxinalzinho (RS);1,105620897
Terra Boa (PR);1,105346277
Parnamirim (RN);1,104827042
Chaval (CE);1,104314303
Guia Lopes da Laguna (MS);1,10420525
Maricá (RJ);1,104170375
Ponte Alta (SC);1,103650094
Governador Valadares (MG);1,103416207
Rianápolis (GO);1,103095496
Juína (MT);1,102555322
Canoas (RS);1,101819973
Messias (AL);1,101608287
Chopinzinho (PR);1,101163806
São Tomé (RN);1,100661871
São João do Sul (SC);1,100657964
Aracati (CE);1,100424937
Triunfo Potiguar (RN);1,100380988
Amontada (CE);1,099526721
Cachoeiro de Itapemirim (ES);1,09884428
Indaial (SC);1,098598375
Camboriú (SC);1,098430257
Balneário Barra do Sul (SC);1,098395322
Cidreira (RS);1,097960842
Piúma (ES);1,097958625
Várzea Grande (MT);1,097576079
Santa Rita do Araguaia (GO);1,097408993
Pindobaçu (BA);1,097230497
São José de Espinharas (PB);1,095946438
Icó (CE);1,095765872
Vieiras (MG);1,095298147
Igarapava (SP);1,095144931
Cedro do Abaeté (MG);1,093440565
Barretos (SP);1,092544662
Itanhomi (MG);1,092542185
São Luís de Montes Belos (GO);1,09240233
Poá (SP);1,091929163
Nilo Peçanha (BA);1,091847817
Bagé (RS);1,091714113
Sarandi (PR);1,091225819
Pavão (MG);1,091169398
Cidade Ocidental (GO);1,091166425
Juiz de Fora (MG);1,091049335
Jequié (BA);1,090366375
João Lisboa (MA);1,090004657
Dona Inês (PB);1,089934211
Codajás (AM);1,089918323
Araricá (RS);1,089409447
Avelinópolis (GO);1,089219522
Tartarugalzinho (AP);1,089199055
Parnamirim (PE);1,088707056
Capixaba (AC);1,088675626
Ituporanga (SC);1,088588026
Guarantã do Norte (MT);1,088566686
Jaraguá do Sul (SC);1,088067516
Embu-Guaçu (SP);1,087986074
Rio dos Cedros (SC);1,087905431
Itapevi (SP);1,087817285
Pontal do Paraná (PR);1,08779816
Paço do Lumiar (MA);1,087517008
Rolândia (PR);1,087319398
Pedro Afonso (TO);1,08727791
Araguainha (MT);1,086712889
Frei Paulo (SE);1,086597826
Irapuru (SP);1,084412156
Ilhéus (BA);1,083668139
Pitimbu (PB);1,083653807
Piancó (PB);1,083545282
Tocantinópolis (TO);1,082665369
Sentinela do Sul (RS);1,082018053
São Félix de Minas (MG);1,081749537
Paramoti (CE);1,081383655
Campos Novos (SC);1,081312326
Nova América da Colina (PR);1,081106022
Camamu (BA);1,080685305
Santana do Manhuaçu (MG);1,080378513
Arinos (MG);1,080295293
Itaobim (MG);1,080108709
Gameleira (PE);1,080048924
Presidente Sarney (MA);1,080015305
Campo Grande do Piauí (PI);1,079908783
Adrianópolis (PR);1,0796577
Morro da Fumaça (SC);1,079448024
Itaú (RN);1,079170637
Jacaraú (PB);1,078911926
Conceição dos Ouros (MG);1,078645521
Nova Ibiá (BA);1,077930514
